Date,AAPL,MSFT,GOOGL
2020-01-02,72.40052795410156,152.15841674804688,67.87303161621094
2020-01-03,71.69664001464844,150.26373291015625,67.5179672241211
2020-01-06,72.2679443359375,150.65216064453125,69.31758880615234
2020-01-07,71.92806243896484,149.27857971191406,69.18370056152344
2020-01-08,73.08509063720703,151.65634155273438,69.6761245727539
2020-01-09,74.63749694824219,153.5509796142578,70.40757751464844
2020-01-10,74.80622863769531,152.84042358398438,70.86231994628906
2020-01-13,76.4044418334961,154.67820739746094,71.41130065917969
2020-01-14,75.3727035522461,153.58888244628906,70.94316101074219
2020-01-15,75.0497055053711,154.58351135253906,71.37013244628906
2020-01-16,75.98982238769531,157.416015625,71.91363525390625
2020-01-17,76.83108520507812,158.2970428466797,73.3696060180664
2020-01-21,76.3104019165039,157.72865295410156,73.50498962402344
2020-01-22,76.58279418945312,156.9707794189453,73.58531188964844
2020-01-23,76.95160675048828,157.9370574951172,73.6259765625
2020-01-24,76.72984313964844,156.3455352783203,72.70757293701172
2020-01-27,74.47358703613281,153.73098754882812,70.99968719482422
2020-01-28,76.58038330078125,156.74343872070312,71.93049621582031
2020-01-29,78.18338012695312,159.18746948242188,72.23795318603516
2020-01-30,78.07012939453125,163.67776489257812,72.116455078125
2020-01-31,74.60856628417969,161.26211547851562,71.05175018310547
2020-02-03,74.4036636352539,165.19351196289062,73.52234649658203
2020-02-04,76.86003112792969,170.63108825683594,71.67807006835938
2020-02-05,77.48674774169922,170.42271423339844,71.70982360839844
2020-02-06,78.39311981201172,173.95623779296875,73.19355010986328
2020-02-07,77.3275375366211,174.20252990722656,73.3492660522461
2020-02-10,77.69481658935547,178.7591094970703,74.81466674804688
2020-02-11,77.22605895996094,174.72357177734375,74.88407897949219
2020-02-12,79.05999755859375,174.97935485839844,75.30907440185547
2020-02-13,78.49700927734375,174.03201293945312,75.0492172241211
2020-02-14,78.51634216308594,175.5856170654297,75.31403350830078
2020-02-18,77.07865142822266,177.3665771484375,75.34925079345703
2020-02-19,78.19498443603516,177.8984832763672,75.61852264404297
2020-02-20,77.39277648925781,175.1818084716797,75.22774505615234
2020-02-21,75.64098358154297,169.64382934570312,73.56498718261719
2020-02-24,72.04800415039062,162.3295440673828,70.41105651855469
2020-02-25,69.60760498046875,159.6508026123047,68.74779510498047
2020-02-26,70.71183013916016,161.64559936523438,68.95359802246094
2020-02-27,66.08952331542969,150.2562255859375,65.20854187011719
2020-02-28,66.05084228515625,153.89442443847656,66.4135971069336
2020-03-02,72.20022583007812,164.13433837890625,68.74779510498047
2020-03-03,69.90721130371094,156.2691192626953,66.33773040771484
2020-03-04,73.14983367919922,162.006591796875,68.51374816894531
2020-03-05,70.77706909179688,157.9409942626953,65.19912719726562
2020-03-06,69.8371353149414,153.47640991210938,64.25592803955078
2020-03-09,64.3135757446289,143.074951171875,60.29119873046875
2020-03-10,68.94552612304688,152.85899353027344,63.23585891723633
2020-03-11,66.55103302001953,145.93414306640625,60.04869079589844
2020-03-12,59.97880172729492,132.093994140625,55.121917724609375
2020-03-13,67.16473388671875,150.87368774414062,60.215824127197266
2020-03-16,58.52421951293945,128.63632202148438,53.21022033691406
2020-03-17,61.09752655029297,139.22781372070312,55.44474411010742
2020-03-18,59.601863861083984,133.3668975830078,54.112266540527344
2020-03-19,59.14519119262695,135.56118774414062,55.12787628173828
2020-03-20,55.390323638916016,130.4696807861328,52.97268295288086
2020-03-23,54.213600158691406,129.1682891845703,52.27445602416992
2020-03-24,59.65261459350586,140.90914916992188,56.037349700927734
2020-03-25,59.32400131225586,139.5602569580078,54.629486083984375
2020-03-26,62.44580078125,148.2899627685547,57.669368743896484
2020-03-27,59.86040496826172,142.2010040283203,55.057952880859375
2020-03-30,61.56869888305664,152.20350646972656,56.845672607421875
2020-03-31,61.44305419921875,149.80979919433594,57.621253967285156
2020-04-01,58.21009826660156,144.49026489257812,54.65328598022461
2020-04-02,59.18143081665039,147.4824676513672,55.3936767578125
2020-04-03,58.33091735839844,146.12408447265625,54.1871452331543
2020-04-06,63.419559478759766,156.9910888671875,58.674556732177734
2020-04-07,62.68500518798828,155.30023193359375,58.643310546875
2020-04-08,64.2894058227539,156.85806274414062,59.85529708862305
2020-04-09,64.75331115722656,156.8675537109375,59.8339729309082
2020-04-13,66.0242919921875,157.218994140625,60.02439880371094
2020-04-14,69.35871124267578,164.99876403808594,62.74293899536133
2020-04-15,68.72564697265625,163.2699737548828,62.34968566894531
2020-04-16,69.27173614501953,168.1715087890625,62.35612869262695
2020-04-17,68.3318099975586,169.65333557128906,63.425785064697266
2020-04-20,66.91345977783203,166.29063415527344,62.54059982299805
2020-04-21,64.84512329101562,159.413330078125,60.111183166503906
2020-04-22,66.71290588378906,164.82781982421875,62.40472412109375
2020-04-23,66.45437622070312,162.83302307128906,63.03749465942383
2020-04-24,68.37288665771484,165.80624389648438,63.3067741394043
2020-04-27,68.42121887207031,165.33123779296875,63.02212142944336
2020-04-28,67.31214904785156,161.3036346435547,61.124305725097656
2020-04-29,69.52302551269531,168.54188537597656,66.55889129638672
2020-04-30,70.98967742919922,170.23272705078125,66.78303527832031
2020-05-01,69.8468017578125,165.8251953125,65.3260726928711
2020-05-04,70.83505249023438,169.8813018798828,65.60279846191406
2020-05-05,71.89820861816406,171.70510864257812,66.89808654785156
2020-05-06,72.63999938964844,173.3959197998047,66.7200698852539
2020-05-07,73.39144897460938,174.4028778076172,67.90277862548828
2020-05-08,75.1383056640625,175.42874145507812,68.64961242675781
2020-05-11,76.32061767578125,177.38555908203125,69.60421752929688
2020-05-12,75.44841766357422,173.36746215820312,68.19536590576172
2020-05-13,74.53742218017578,170.74574279785156,66.8638687133789
2020-05-14,74.995361328125,171.4866485595703,67.28688049316406
2020-05-15,74.55198669433594,173.98489379882812,68.0902328491211
2020-05-18,76.30850982666016,175.64723205566406,68.6912841796875
2020-05-19,75.8675537109375,174.43136596679688,68.15670013427734
2020-05-20,77.34304809570312,176.850830078125,69.88043975830078
2020-05-21,76.76641082763672,174.7266082763672,69.76093292236328
2020-05-22,77.26066589355469,174.8028564453125,70.08277130126953
2020-05-26,76.73735046386719,172.95489501953125,70.4859390258789
2020-05-27,77.0716781616211,173.1835174560547,70.43187713623047
2020-05-28,77.1055908203125,172.79296875,70.33073425292969
2020-05-29,77.030517578125,174.55519104003906,71.08846282958984
2020-06-01,77.97783660888672,174.15512084960938,71.15540313720703
2020-06-02,78.33880615234375,176.1363983154297,71.52435302734375
2020-06-03,78.77008819580078,176.5650634765625,71.37260437011719
2020-06-04,78.0916748046875,174.24085998535156,70.13533020019531
2020-06-05,80.31583404541016,178.3177490234375,71.41080474853516
2020-06-08,80.79068756103516,179.4227294921875,71.80850219726562
2020-06-09,83.34190368652344,180.79440307617188,72.00884246826172
2020-06-10,85.48606872558594,187.5003662109375,72.63467407226562
2020-06-11,81.3818359375,177.431884765625,69.52042388916016
2020-06-12,82.08445739746094,178.8321533203125,70.06690979003906
2020-06-15,83.099609375,179.97518920898438,70.4546890258789
2020-06-16,85.30191802978516,184.3855438232422,71.73063659667969
2020-06-17,85.1832275390625,185.02377319335938,72.03165435791016
2020-06-18,85.2171630859375,187.00506591796875,71.11821746826172
2020-06-19,84.73017120361328,185.8905792236328,70.6480941772461
2020-06-22,86.94701385498047,191.05340576171875,71.93843078613281
2020-06-23,88.80288696289062,192.32980346679688,72.59896087646484
2020-06-24,87.23533630371094,188.45289611816406,71.04779815673828
2020-06-25,88.39342498779297,190.83432006835938,71.46435546875
2020-06-26,85.677490234375,187.01455688476562,67.56854248046875
2020-06-29,87.65205383300781,189.0244598388672,69.28585052490234
2020-06-30,88.38373565673828,193.85394287109375,70.32128143310547
2020-07-01,88.2165756225586,194.9874267578125,71.50897979736328
2020-07-02,88.2165756225586,196.4734344482422,72.89403533935547
2020-07-06,90.57637786865234,200.70272827148438,74.36785125732422
2020-07-07,90.29531860351562,198.36895751953125,73.88534545898438
2020-07-08,92.39832305908203,202.7316436767578,74.563720703125
2020-07-09,92.79566192626953,204.15097045898438,75.31056213378906
2020-07-10,92.95796966552734,203.53184509277344,76.3197250366211
2020-07-13,92.5291519165039,197.24501037597656,74.99170684814453
2020-07-14,94.06034851074219,198.4642333984375,75.4196548461914
2020-07-15,94.70724487304688,198.16891479492188,75.2222900390625
2020-07-16,93.54191589355469,194.24440002441406,75.12509155273438
2020-07-17,93.3528823852539,193.25375366210938,75.22079467773438
2020-07-20,95.32022094726562,201.56004333496094,77.5510482788086
2020-07-21,94.004638671875,198.8452606201172,77.15828704833984
2020-07-22,94.26873779296875,201.70289611816406,77.60112762451172
2020-07-23,89.97793579101562,192.9298858642578,75.2158432006836
2020-07-24,89.75503540039062,191.74876403808594,74.79234313964844
2020-07-27,91.88225555419922,194.1777801513672,75.84464263916016
2020-07-28,90.37287139892578,192.43458557128906,74.56622314453125
2020-07-29,92.10516357421875,194.37779235839844,75.55107116699219
2020-07-30,93.21964263916016,194.22537231445312,76.28799438476562
2020-07-31,102.97869873046875,195.28269958496094,73.78764343261719
2020-08-03,105.5735092163086,206.26565551757812,73.5302734375
2020-08-04,106.2785415649414,203.16986083984375,73.06114959716797
2020-08-05,106.66375732421875,202.83645629882812,73.34828186035156
2020-08-06,110.38517761230469,206.08465576171875,74.63066864013672
2020-08-07,107.87550354003906,202.3983154296875,74.30437469482422
2020-08-10,109.44344329833984,198.36895751953125,74.2275161743164
2020-08-11,106.18860626220703,193.7300567626953,73.4201889038086
2020-08-12,109.71772003173828,199.26441955566406,74.7442398071289
2020-08-13,111.65945434570312,198.79763793945312,75.21087646484375
2020-08-14,111.55995178222656,198.98818969726562,74.61481475830078
2020-08-17,111.26866912841797,200.30271911621094,75.19054412841797
2020-08-18,112.19587707519531,201.4552459716797,77.1513442993164
2020-08-19,112.33661651611328,200.2330780029297,76.59741973876953
2020-08-20,114.8293228149414,204.8927459716797,78.16645050048828
2020-08-21,120.74677276611328,203.4031524658203,78.13273620605469
2020-08-24,122.19092559814453,204.0429229736328,78.6078109741211
2020-08-25,121.18849182128906,206.69741821289062,79.63433837890625
2020-08-26,122.83656311035156,211.16612243652344,81.53263854980469
2020-08-27,121.36811828613281,216.35101318359375,80.75852966308594
2020-08-28,121.1715316772461,218.5757598876953,81.29955291748047
2020-08-31,125.28072357177734,215.3484649658203,80.8086166381836
2020-09-01,130.2709503173828,217.00985717773438,82.07563781738281
2020-09-02,127.57194519042969,221.19210815429688,85.16560363769531
2020-09-03,117.35842895507812,207.48995971679688,80.80763244628906
2020-09-04,117.43609619140625,204.57765197753906,78.41242218017578
2020-09-08,109.53324890136719,193.51084899902344,75.55552673339844
2020-09-09,113.90213775634766,201.75125122070312,76.72734832763672
2020-09-10,110.1837158203125,196.0985565185547,75.6770248413086
2020-09-11,108.73714447021484,194.8190155029297,75.166748046875
2020-09-14,111.99925994873047,196.13673400878906,74.82308959960938
2020-09-15,112.17401123046875,199.35455322265625,76.12681579589844
2020-09-16,108.86332702636719,195.79298400878906,74.98475646972656
2020-09-17,107.12548828125,193.7495880126953,73.74251556396484
2020-09-18,103.72746276855469,191.34336853027344,71.9597396850586
2020-09-21,106.87306213378906,193.39625549316406,70.92084503173828
2020-09-22,108.55267333984375,198.0559844970703,72.39266967773438
2020-09-23,103.99929809570312,191.53431701660156,69.89183807373047
2020-09-24,105.06724548339844,194.0169219970703,70.55982208251953
2020-09-25,109.00895690917969,198.43789672851562,71.36319732666016
2020-09-28,111.61088562011719,199.9847869873047,72.33513641357422
2020-09-29,110.7662353515625,197.9031982421875,72.70014953613281
2020-09-30,112.43611907958984,200.83462524414062,72.6792984008789
2020-10-01,113.38760375976562,202.86843872070312,73.78516387939453
2020-10-02,109.72742462158203,196.8815155029297,72.18339538574219
2020-10-05,113.10602569580078,200.88238525390625,73.53374481201172
2020-10-06,109.86334228515625,196.6141815185547,71.95628356933594
2020-10-07,111.72740936279297,200.357177734375,72.35894775390625
2020-10-08,111.62060546875,201.07333374023438,73.5634994506836
2020-10-09,113.5623550415039,206.0672149658203,74.9034194946289
2020-10-12,120.77590942382812,211.40484619140625,77.58822631835938
2020-10-13,117.57203674316406,212.7989044189453,77.71121978759766
2020-10-14,117.65941619873047,210.8892059326172,77.53120422363281
2020-10-15,117.19339752197266,209.74342346191406,77.1359634399414
2020-10-16,115.5526351928711,209.74342346191406,77.74246215820312
2020-10-19,112.60118865966797,204.5489959716797,75.87042999267578
2020-10-20,114.08662414550781,204.9595489501953,76.91825866699219
2020-10-21,113.46527862548828,205.10281372070312,78.64946746826172
2020-10-22,112.37788391113281,205.1887664794922,79.67449188232422
2020-10-23,111.6885757446289,206.46826171875,80.97972106933594
2020-10-26,111.69829559326172,200.5958709716797,78.56515502929688
2020-10-27,113.203125,203.6227569580078,79.28868103027344
2020-10-28,107.96043395996094,193.52999877929688,74.9207763671875
2020-10-29,111.96041870117188,195.4778594970703,77.20590209960938
2020-10-30,105.6886215209961,193.3294677734375,80.14311981201172
2020-11-02,105.60124206542969,193.19578552246094,80.55025482177734
2020-11-03,107.22256469726562,197.1106719970703,81.60850524902344
2020-11-04,111.6011962890625,206.62103271484375,86.57695007324219
2020-11-05,115.56233215332031,213.2095184326172,87.40261840820312
2020-11-06,115.43104553222656,213.62008666992188,87.2652587890625
2020-11-09,113.12612915039062,208.53073120117188,87.34907531738281
2020-11-10,112.78572082519531,201.48391723632812,86.17377471923828
2020-11-11,116.20907592773438,206.7738037109375,86.64537811279297
2020-11-12,115.936767578125,205.71388244628906,86.42668914794922
2020-11-13,115.98539733886719,206.73561096191406,87.88661193847656
2020-11-16,116.9968490600586,207.42312622070312,87.97439575195312
2020-11-17,116.1118392944336,204.7781219482422,87.3609619140625
2020-11-18,114.78916931152344,202.07839965820312,86.3185806274414
2020-11-19,115.38241577148438,203.36126708984375,87.20772552490234
2020-11-20,114.11810302734375,201.41783142089844,86.10733032226562
2020-11-23,110.72393798828125,201.1497802734375,85.6699447631836
2020-11-24,112.00769805908203,204.73989868164062,87.47203826904297
2020-11-25,112.8440933227539,204.7494354248047,87.48345184326172
2020-11-27,113.3886947631836,206.0514373779297,88.61856079101562
2020-11-30,115.7811508178711,204.94090270996094,87.00092315673828
2020-12-01,119.35038757324219,206.98965454101562,89.03215026855469
2020-12-02,119.70051574707031,206.1854705810547,90.50051879882812
2020-12-03,119.56436157226562,205.10366821289062,90.34529876708984
2020-12-04,118.89330291748047,205.21852111816406,90.44051361083984
2020-12-07,120.35210418701172,205.15150451660156,90.10675811767578
2020-12-08,120.96479797363281,206.7981719970703,89.82410430908203
2020-12-09,118.43618774414062,202.7677001953125,88.16432189941406
2020-12-10,119.85610961914062,201.5423126220703,87.65801239013672
2020-12-11,119.04890441894531,204.1654510498047,88.01256561279297
2020-12-14,118.43618774414062,205.0653533935547,86.89482879638672
2020-12-15,124.36872100830078,204.9983367919922,87.33220672607422
