Date,AAPL,MSFT,GOOGL,JNJ,JPM
2020-01-02,72.40052795410156,152.15841674804688,67.87303161621094,122.63822937011719,118.43030548095703
2020-01-03,71.69664001464844,150.26373291015625,67.5179672241211,121.21835327148438,116.86746978759766
2020-01-06,72.2679443359375,150.65216064453125,69.31758880615234,121.06713104248047,116.77455139160156
2020-01-07,71.92806243896484,149.27857971191406,69.18370056152344,121.80644989013672,114.78929901123047
2020-01-08,73.08509063720703,151.65634155273438,69.6761245727539,121.78964233398438,115.68478393554688
2020-01-09,74.63749694824219,153.5509796142578,70.40757751464844,122.15092468261719,116.10716247558594
2020-01-10,74.80622863769531,152.84042358398438,70.86231994628906,121.87368774414062,114.94982147216797
2020-01-13,76.4044418334961,154.67820739746094,71.41130065917969,122.4113998413086,115.9044189453125
2020-01-14,75.3727035522461,153.58888244628906,70.94316101074219,123.10034942626953,117.25608825683594
2020-01-15,75.0497055053711,154.58351135253906,71.37013244628906,123.51197052001953,115.4989013671875
2020-01-16,75.98982238769531,157.416015625,71.91363525390625,124.51180267333984,115.94666290283203
2020-01-17,76.83108520507812,158.2970428466797,73.3696060180664,125.32671356201172,116.74921417236328
2020-01-21,76.3104019165039,157.72865295410156,73.50498962402344,125.41075897216797,115.60031127929688
2020-01-22,76.58279418945312,156.9707794189453,73.58531188964844,124.55377960205078,115.46511840820312
2020-01-23,76.95160675048828,157.9370574951172,73.6259765625,124.78904724121094,115.34683990478516
2020-01-24,76.72984313964844,156.3455352783203,72.70757293701172,124.61260223388672,112.48301696777344
2020-01-27,74.47358703613281,153.73098754882812,70.99968719482422,124.97386932373047,111.5368881225586
2020-01-28,76.58038330078125,156.74343872070312,71.93049621582031,125.60401153564453,113.56436157226562
2020-01-29,78.18338012695312,159.18746948242188,72.23795318603516,126.47770690917969,113.39540100097656
2020-01-30,78.07012939453125,163.67776489257812,72.116455078125,126.3265151977539,114.79776763916016
2020-01-31,74.60856628417969,161.26211547851562,71.05175018310547,125.07469177246094,111.81565856933594
2020-02-03,74.4036636352539,165.19351196289062,73.52234649658203,126.16688537597656,112.66889190673828
2020-02-04,76.86003112792969,170.63108825683594,71.67807006835938,127.36832427978516,114.2908935546875
2020-02-05,77.48674774169922,170.42271423339844,71.70982360839844,129.37631225585938,116.23388671875
2020-02-06,78.39311981201172,173.95623779296875,73.19355010986328,128.98983764648438,116.25080871582031
2020-02-07,77.3275375366211,174.20252990722656,73.3492660522461,127.61199951171875,115.87909698486328
2020-02-10,77.69481658935547,178.7591094970703,74.81466674804688,127.5867919921875,116.36060333251953
2020-02-11,77.22605895996094,174.72357177734375,74.88407897949219,127.6960220336914,116.58023071289062
2020-02-12,79.05999755859375,174.97935485839844,75.30907440185547,126.93983459472656,116.58023071289062
2020-02-13,78.49700927734375,174.03201293945312,75.0492172241211,126.09966278076172,116.47887420654297
2020-02-14,78.51634216308594,175.5856170654297,75.31403350830078,126.13330078125,116.12405395507812
2020-02-18,77.07865142822266,177.3665771484375,75.34925079345703,125.30149841308594,114.58658599853516
2020-02-19,78.19498443603516,177.8984832763672,75.61852264404297,125.1335220336914,116.14942932128906
2020-02-20,77.39277648925781,175.1818084716797,75.22774505615234,124.65461730957031,116.14942932128906
2020-02-21,75.64098358154297,169.64382934570312,73.56498718261719,125.96526336669922,114.73017883300781
2020-02-24,72.04800415039062,162.3295440673828,70.41105651855469,123.36951446533203,111.646728515625
2020-02-25,69.60760498046875,159.6508026123047,68.74779510498047,122.30416870117188,106.66248321533203
2020-02-26,70.71183013916016,161.64559936523438,68.95359802246094,121.48401641845703,106.98348236083984
